hour,ARIMA+Fourier,LightGBM,LSTM,Persistence
0,4.133558136629734,3.596432209587075,4.0113893519558825,4.098018343512528
1,2.6699614214660703,2.7136892111095428,2.644370768864556,2.49383702997557
2,2.340896353370259,2.183758321512151,2.109475429274689,2.3583467989679514
3,2.1513256288532365,1.9165127954041148,1.8809553302114566,2.171374872700015
4,1.7201981984406665,1.583007275116758,1.4999177553657856,1.667891887840486
5,2.084199353056203,1.764363595854205,1.7603024123024644,2.0712765237571937
6,1.9254293407890914,1.6474841565491627,1.8116161209277348,2.053025703652417
7,3.6048993293377842,2.890398433559104,2.681656318890264,3.4754338826911058
8,6.539404815564842,4.410227320857877,3.668938408417742,6.882532369560787
9,6.936546995436702,5.214992029281388,5.043394173273611,7.430326259150996
10,6.689797837090921,6.429836745963467,6.269829404268486,8.524937841276769
11,7.247242405020951,7.3822249008549115,7.042283314499301,9.034852034434733
12,8.12753928435781,7.612080901814624,7.30016471631206,9.592746448038426
13,8.496176601752744,8.811288427667877,9.625917989240815,10.008994819350375
14,9.024358948960721,10.174067745617126,9.638629299276497,9.812311613146282
15,8.987566637848229,9.291444633685476,9.004955611636694,9.514746226905627
16,8.191350105564526,9.715540843593184,8.420439799598615,9.175199314718782
17,8.101071376161077,9.3198253036403,8.370292355495451,9.338327408172251
18,9.24860218487833,10.744310819587241,8.717297054053358,10.313780701466687
19,7.123616950449228,8.701306703238744,7.11512051037778,9.112995669949784
20,5.124428117791439,7.9036238603654,5.816749680331471,7.679736045970069
21,4.200027113997567,6.3775516356776185,4.379628830691935,4.7544052443343565
22,4.161329993524692,4.644142742356617,4.0918323471114455,4.716068214581625
23,3.761749719167014,4.964400911391399,4.088889092757154,4.664942715989243
